Marque;Trage;PAT;NBV;PM;CA;%NBV;%CA_PAT;Prime;size
DAV;0-30ans;Confirme;4934786;2205050599;115376375;0,0427712;0,063709606;5929,17425;3
DAV;30-40ans;Confirme;4005913;1329315038;71133905;0,0563151;0,039279385;5390,260045;3
DAV;40-50ans;Confirme;8765559;2770707605;138605497;0,063241063;0,07653648;28170,1399;3
DAV;50-60ans;Confirme;20905014;6999643546;345217843;0,060556007;0,190625617;18557,7411;3
DAV;60-70ans;Confirme;28790306;10735535313;597697412;0,048168698;0,330042147;20677,1642;3
DAV;70 ans et +;Confirme;11633147;6473316264;542941954;0,021426134;0,299806766;23684,93137;3
GMF;0-30ans;Confirme;513473;227911459;9923877;0,051741169;0,018421131;16826,48773;3
GMF;30-40ans;Confirme;1027936;395240376;16719122;0,061482654;0,03103476;460,9708459;3
GMF;40-50ans;Confirme;1843820;672986075;26694682;0,069070686;0,049551827;20909,31078;3
GMF;50-60ans;Confirme;4933297;1975162452;81891537;0,060241842;0,152010625;21905,93332;3
GMF;60-70ans;Confirme;9213670;3993811689;193230794;0,047682203;0,358683385;25799,32366;3
GMF;70 ans et +;Confirme;4297957;2812549166;210262444;0,020440916;0,390298273;7169,310182;3
MAAF;0-30ans;Confirme;634585;200118129;8816575;0,071976363;0,026600457;11362,45969;3
MAAF;30-40ans;Confirme;771825;213813226;10399653;0,074216419;0,031376756;22295,26873;3
MAAF;40-50ans;Confirme;2027544;522242238;24033681;0,084362608;0,072511934;26117,96503;3
MAAF;50-60ans;Confirme;5735888;1501662004;68601026;0,083612277;0,206975913;24593,50557;3
MAAF;60-70ans;Confirme;7806482;2166622806;114259992;0,068322095;0,344733417;23800,08499;3
MAAF;70 ans et +;Confirme;3185269;1371234166;105333564;0,030239829;0,317801523;17563,45929;3
MMA;0-30ans;Confirme;3786728;1777021011;96635923;0,039185511;0,102716096;23589,2721;3
MMA;30-40ans;Confirme;2206152;720261436;44015130;0,050122583;0,046784489;20617,93801;3
MMA;40-50ans;Confirme;4894195;1575479292;87877134;0,055693612;0,093406218;2066,464696;3
MMA;50-60ans;Confirme;10235829;3522819090;194725280;0,052565486;0,206977073;17789,48183;3
MMA;60-70ans;Confirme;11770154;4575100818;290206626;0,04055784;0,308465947;23070,18345;3
MMA;70 ans et +;Confirme;4149921;2289532932;227345946;0,018253772;0,241650177;9589,471057;3
MMA Agents;0-30ans;Confirme;921692;293846607;14631707;0,062992787;0,044263891;14040,30467;3
MMA Agents;30-40ans;Confirme;858730;249869153;12420528;0,069137963;0,037574625;15698,93979;3
MMA Agents;40-50ans;Confirme;1856073;584367223;27215536;0,068199024;0,082332535;1811,222285;3
MMA Agents;50-60ans;Confirme;3908579;1384968773;66630485;0,058660522;0,201570778;13944,83535;3
MMA Agents;60-70ans;Confirme;4686971;1837319791;108689955;0,043122393;0,328809234;9639,460316;3
MMA Agents;70 ans et +;Confirme;1902273;1021842078;100968062;0,018840344;0,305448936;26482,49081;3
MMA CAP;0-30ans;Confirme;507705;142443510;7498381;0,067708616;0,053637887;8979,435251;3
MMA CAP;30-40ans;Confirme;492860;125378216;6343166;0,07769937;0,045374331;12210,13944;3
MMA CAP;40-50ans;Confirme;1104079;268067174;12436058;0,088780464;0,088958387;16062,82973;3
