Marque;Segment;Trage;PAT;NBV;PM;CA;%NBV;%CA_PAT
DAV;EURO;+70ans;GP;1371700;1400554709;127985177;0,0107;0,164329737
DAV;UC;+70ans;GP;969054;676472252;40429730;0,024;0,051910753
DAV;EURO;0-30ans;GP;3798635;3752125714;287859064;0,0132;0,369603773
DAV;UC;0-30ans;GP;899792;535419653;24043348;0,0374;0,030871052
DAV;EURO;30-40ans;GP;532251;472169838;32073135;0,0166;0,041181096
DAV;UC;30-40ans;GP;281085;147216881;8036791;0,035;0,010319037
DAV;EURO;40-50ans;GP;1320401;1031537499;58200302;0,0227;0,074727719
DAV;UC;40-50ans;GP;1414943;897962838;49503172;0,0286;0,063560823
DAV;EURO;50-60ans;GP;1308495;845249971;43740499;0,0299;0,056161697
DAV;UC;50-60ans;GP;1980637;1033711324;44442017;0,0446;0,057062428
DAV;EURO;60-70ans;GP;808788;634841758;44455642;0,0182;0,057079922
DAV;UC;60-70ans;GP;684618;308311408;18062632;0,0379;0,023191964
DAV;EURO;+70ans;PC;3582351;2984564140;250876070;0,0143;0,156611215
DAV;UC;+70ans;PC;2684497;703838103;57591605;0,0466;0,035951979
DAV;EURO;0-30ans;PC;6327626;3986011495;187780646;0,0337;0,117223437
DAV;UC;0-30ans;PC;5547028;1043574136;61180926;0,0907;0,038192639
DAV;EURO;30-40ans;PC;1285283;863445612;52028909;0,0247;0,032479426
DAV;UC;30-40ans;PC;1815926;374468046;21523070;0,0844;0,013435933
DAV;EURO;40-50ans;PC;3335094;2414610107;149566658;0,0223;0,093368077
DAV;UC;40-50ans;PC;3771901;792337739;43203221;0,0873;0,026969926
DAV;EURO;50-60ans;PC;9942843;6900634416;356652725;0,0279;0,222643063
DAV;UC;50-60ans;PC;7334484;1477037331;79939631;0,0918;0,049902897
DAV;EURO;60-70ans;PC;5357920;3844085919;245356769;0,0218;0,153165752
DAV;UC;60-70ans;PC;7494698;1584889265;96203371;0,0779;0,060055656
DAV;EURO;+70ans;PP;456065;92520321;6633629;0,0688;0,037110102
DAV;UC;+70ans;PP;961912;154773034;8688022;0,1107;0,048602866
DAV;EURO;0-30ans;PP;962653;114437143;5369993;0,1793;0,030041021
DAV;UC;0-30ans;PP;6421338;780156706;33890129;0,1895;0,189589459
DAV;EURO;30-40ans;PP;143028;29187578;1849668;0,0773;0,010347484
DAV;UC;30-40ans;PP;634241;96273146;5677182;0,1117;0,031759509
DAV;EURO;40-50ans;PP;698744;130926353;7430302;0,094;0,04156688
DAV;UC;40-50ans;PP;1020874;179956528;10571552;0,0966;0,059139782
DAV;EURO;50-60ans;PP;2365841;308824480;14405825;0,1642;0,080589619
DAV;UC;50-60ans;PP;10594413;1387765983;69431224;0,1526;0,388414816
DAV;EURO;60-70ans;PP;360852;73060634;5191728;0,0695;0,029043764
DAV;UC;60-70ans;PP;936207;153822049;9616090;0,0974;0,053794699
GMF;EURO;+70ans;GP;864913;903793348;77363502;0,0112;0,26087049
GMF;EURO;0-30ans;GP;677622;498481002;28511185;0,0238;0,096139996
GMF;EURO;30-40ans;GP;616158;424618195;23526627;0,0262;0,079332018
GMF;EURO;40-50ans;GP;712166;472658122;24053091;0,0296;0,081107259
GMF;EURO;50-60ans;GP;1196140;853386771;46238679;0,0259;0,15591728
GMF;EURO;60-70ans;GP;1522875;1214047105;76877698;0,0198;0,259232354
GMF;UC;+70ans;GP;192305;41450741;2901608;0,0663;0,009784251
GMF;UC;0-30ans;GP;263373;45692329;2422721;0,1087;0,008169439
GMF;UC;30-40ans;GP;261845;43728463;2216983;0,1181;0,007475688
