Marque;Segment;Tranche d'age;Typologie Pat;NBV (%CA);NBV (M Euro);CA (M Euro);;;
DAV;UC;50-60ans;Confirme;0,119;13,2;110,8;;;
DAV;UC;40-50ans;Confirme;0,114;5,7;50,4;;;
DAV;UC;60-70ans;Confirme;0,11;18;164;;;
DAV;UC;30-40ans;Confirme;0,108;2,5;23,4;;;
DAV;UC;50-60ans;Potentiel;0,107;0,7;6,4;;;
DAV;UC;50-60ans;Grand Public;0,099;1,4;13,8;;;
DAV;UC;40-50ans;Potentiel;0,098;0,4;4;;;
DAV;UC;60-70ans;Potentiel;0,097;0,9;9,6;;;
DAV;UC;40-50ans;Grand Public;0,093;0,9;10;;;
DAV;UC;30-40ans;Potentiel;0,092;0,1;1,5;;;
DAV;UC;60-70ans;Grand Public;0,09;1,3;14,7;;;
DAV;UC;0-30ans;Confirme;0,079;2,3;28,5;;;
DAV;UC;30-40ans;Grand Public;0,078;0,6;7,7;;;
DAV;UC;70 ans et +;Potentiel;0,073;0,2;3,4;;;
DAV;UC;70 ans et +;Confirme;0,07;6,2;88,6;;;
DAV;UC;0-30ans;Potentiel;0,069;0,1;0,9;;;
DAV;UC;0-30ans;Grand Public;0,062;0,4;6,4;;;
DAV;UC;70 ans et +;Grand Public;0,061;0,4;7,1;;;
DAV;Euro;40-50ans;Confirme;0,034;3;88,2;;;
DAV;Euro;50-60ans;Confirme;0,033;7,7;234,4;;;
DAV;Euro;30-40ans;Confirme;0,031;1,5;47,7;;;
DAV;Euro;0-30ans;Confirme;0,031;2,7;86,9;;;
DAV;Euro;40-50ans;Grand Public;0,026;1,6;59,8;;;
DAV;Euro;40-50ans;Potentiel;0,025;0,4;14,1;;;
DAV;Euro;60-70ans;Confirme;0,025;10,8;433,7;;;
DAV;Euro;50-60ans;Potentiel;0,025;0,7;29,2;;;
DAV;Euro;30-40ans;Potentiel;0,024;0,1;5,8;;;
DAV;Euro;50-60ans;Grand Public;0,024;2,5;104,4;;;
DAV;Euro;30-40ans;Grand Public;0,023;1,1;45,3;;;
DAV;Euro;60-70ans;Potentiel;0,02;1,1;52,9;;;
DAV;Euro;0-30ans;Grand Public;0,02;1;51,9;;;
DAV;Euro;60-70ans;Grand Public;0,019;2,6;141,8;;;
DAV;Euro;0-30ans;Potentiel;0,014;0;3,4;;;
DAV;Euro;70 ans et +;Potentiel;0,013;0,4;26,4;;;
DAV;Euro;70 ans et +;Confirme;0,012;5,4;454,4;;;
DAV;Euro;70 ans et +;Grand Public;0,011;1,4;128;;;
GMF;UC;40-50ans;Confirme;0,217;0,8;3,9;;;
GMF;UC;30-40ans;Confirme;0,212;0,4;2;;;
GMF;UC;50-60ans;Confirme;0,194;2,2;11,2;;;
GMF;UC;0-30ans;Confirme;0,194;0,2;0,8;;;
GMF;UC;60-70ans;Confirme;0,149;4,5;30,5;;;
GMF;UC;40-50ans;Potentiel;0,135;0,1;0,8;;;
GMF;UC;40-50ans;Grand Public;0,13;0,3;2,6;;;
GMF;UC;50-60ans;Potentiel;0,128;0,3;2,2;;;
GMF;UC;50-60ans;Grand Public;0,126;0,5;3,6;;;
GMF;UC;0-30ans;Potentiel;0,124;0;0,2;;;
GMF;UC;30-40ans;Potentiel;0,123;0;0,4;;;
GMF;UC;30-40ans;Grand Public;0,118;0,3;2,2;;;
GMF;UC;0-30ans;Grand Public;0,109;0,3;2,4;;;
GMF;UC;60-70ans;Potentiel;0,105;0,6;6;;;
GMF;UC;70 ans et +;Confirme;0,102;1,7;16,9;;;
GMF;UC;60-70ans;Grand Public;0,101;0,6;6,2;;;
GMF;UC;70 ans et +;Potentiel;0,078;0,2;2,1;;;
GMF;UC;70 ans et +;Grand Public;0,066;0,2;2,9;;;
GMF;Euro;40-50ans;Confirme;0,044;1;22,8;;;
GMF;Euro;30-40ans;Confirme;0,041;0,6;14,7;;;
GMF;Euro;0-30ans;Confirme;0,04;0,4;9,1;;;
GMF;Euro;50-60ans;Confirme;0,039;2,8;70,7;;;
GMF;Euro;40-50ans;Grand Public;0,03;0,7;24,1;;;
GMF;Euro;60-70ans;Confirme;0,029;4,7;162,7;;;
GMF;Euro;50-60ans;Potentiel;0,027;0,4;15,2;;;
GMF;Euro;30-40ans;Grand Public;0,026;0,6;23,5;;;
GMF;Euro;50-60ans;Grand Public;0,026;1,2;46,2;;;
GMF;Euro;40-50ans;Potentiel;0,025;0,1;5,7;;;
GMF;Euro;0-30ans;Grand Public;0,024;0,7;28,5;;;
GMF;Euro;30-40ans;Potentiel;0,022;0,1;2,4;;;
GMF;Euro;60-70ans;Potentiel;0,021;0,9;42,1;;;
GMF;Euro;60-70ans;Grand Public;0,02;1,5;76,9;;;
GMF;Euro;0-30ans;Potentiel;0,02;0;0,9;;;
GMF;Euro;70 ans et +;Potentiel;0,015;0,3;19,7;;;
GMF;Euro;70 ans et +;Confirme;0,013;2,6;193,4;;;
GMF;Euro;70 ans et +;Grand Public;0,011;0,9;77,4;;;
MAAF;UC;0-30ans;Confirme;0,196;0,4;2,1;;;
MAAF;UC;50-60ans;Confirme;0,189;4,2;22,4;;;
MAAF;UC;40-50ans;Confirme;0,188;1,5;7,8;;;
MAAF;UC;30-40ans;Confirme;0,178;0,5;3;;;
MAAF;UC;60-70ans;Confirme;0,158;6;38;;;
MAAF;UC;70 ans et +;Confirme;0,113;2,1;18,7;;;
MAAF;UC;50-60ans;Potentiel;0,105;0,3;3,2;;;
MAAF;UC;50-60ans;Grand Public;0,103;0,5;4,9;;;
MAAF;UC;40-50ans;Potentiel;0,1;0,2;2,1;;;
MAAF;UC;60-70ans;Grand Public;0,097;0,3;3,3;;;
