Marque;Pat;NBV;PM;CA;%CA
GMF;GP;7733500,977;4741126574;296559039,9;0,317861191
GMF;PC;21830155,14;10077661218;538722456,6;0,577419464
GMF;PP;3062734,017;1645324429;97701352,59;0,104719345
MAAF;GP;3523397,058;2113539744;140870791,8;0,270961863
MAAF;PC;20161592,31;5975692569;331444490,1;0,637526171
MAAF;PP;1713874,765;721241199,8;47576301,1;0,091511966
MMA Agents;GP;3829369,838;2213300348;144488760,8;0,296536042
MMA Agents;PC;14134317,61;5372213626;330556274,2;0,678404665
MMA Agents;PP;364052,3925;167421195,4;12210273,43;0,025059293
MMA CAP;GP;121223,9468;81162692,52;8053905,403;0,054473394
MMA CAP;PC;8030985,544;2364393226;139796352,4;0,945526606
MMA CAP;PP;0;0;0;0
MMA Courtage;GP;0;0;0;0
MMA Courtage;PC;14876559,03;6718631602;470095789,3;1
MMA Courtage;PP;0;0;0;0
MMA;GP;3973932,415;2304552605;153599704,1;0,138801266
MMA;PC;37042978,06;14460214582;940806042,5;0,85016485
MMA;PP;364052,3925;167421195,4;12210273,43;0,011033885
DAV;GP;15230830,45;9159218923;591029535,8;0,230916875
DAV;PC;79034725,51;30513568369;1810972989;0,707552157
DAV;PP;5140661,174;2533986825;157487927,1;0,061530969
